T_pct,field,model,delta_mean,delta_std,wins,n_seeds,t_stat,p_paired,p_bh,sig_bh_05,sig_bh_10
5,01,RF,-1.1173,2.6687,4,20,-1.872,0.0766,,0,0
5,01,GBT,-0.6431,2.4511,6,20,-1.173,0.2552,,0,0
5,01,XGB,1.1659,2.0001,13,20,2.607,0.0173,,0,0
5,01,LogReg,0.1961,2.2895,8,20,0.383,0.7059,,0,0
5,01,SVM,-0.6709,2.3639,6,20,-1.269,0.2197,,0,0
5,01,FFN,-1.3663,2.2679,3,20,-2.694,0.0144,,0,0
5,03,RF,-0.7771,2.392,0,20,-1.453,0.1625,,0,0
5,03,GBT,3.4667,17.9584,4,20,0.863,0.3987,,0,0
5,03,XGB,-6.1562,21.8823,3,20,-1.258,0.2236,,0,0
5,03,LogReg,-7.7105,21.2082,0,20,-1.626,0.1204,,0,0
5,03,SVM,0.3886,1.7377,1,20,1.0,0.3299,,0,0
5,03,FFN,-7.7105,23.9987,2,20,-1.437,0.167,,0,0
5,07,RF,0.9295,2.1684,5,20,1.917,0.0704,,0,0
5,07,GBT,-0.5177,5.1898,5,20,-0.446,0.6606,,0,0
5,07,XGB,4.578,6.2898,11,20,3.255,0.0042,,0,0
5,07,LogReg,0.0,1.7683,1,20,0.0,1.0,,0,0
5,07,SVM,-0.545,1.6775,0,20,-1.453,0.1625,,0,0
5,07,FFN,0.545,3.4921,5,20,0.698,0.4936,,0,0
5,08,RF,0.5662,3.3571,6,20,0.754,0.46,,0,0
5,08,GBT,-1.317,3.6703,1,20,-1.605,0.125,,0,0
5,08,XGB,1.2542,4.4414,5,20,1.263,0.2219,,0,0
5,08,LogReg,-1.3897,4.2775,0,20,-1.453,0.1625,,0,0
5,08,SVM,-1.8904,4.9902,1,20,-1.694,0.1066,,0,0
5,08,FFN,1.3948,9.8663,6,20,0.632,0.5348,,0,0
5,09,RF,0.222,2.4896,9,20,0.399,0.6945,,0,0
5,09,GBT,-0.2484,1.9787,6,20,-0.561,0.581,,0,0
5,09,XGB,1.0771,3.1753,10,20,1.517,0.1457,,0,0
5,09,LogReg,-0.9429,3.3556,4,20,-1.257,0.2241,,0,0
5,09,SVM,1.4022,2.1026,14,20,2.983,0.0077,,0,0
5,09,FFN,0.2261,3.033,9,20,0.333,0.7425,,0,0
5,12,RF,0.0,0.0,0,20,,,,0,0
5,12,GBT,1.1666,6.2319,1,20,0.837,0.4129,,0,0
5,12,XGB,1.3683,6.119,1,20,1.0,0.3299,,0,0
5,12,LogReg,-2.7365,8.4228,0,20,-1.453,0.1625,,0,0
5,12,SVM,0.0,0.0,0,20,,,,0,0
5,12,FFN,-9.7794,13.7001,0,20,-3.192,0.0048,,0,0
5,13,RF,-5.6204,21.6454,2,20,-1.161,0.2599,,0,0
5,13,GBT,1.5481,5.9781,3,20,1.158,0.2612,,0,0
5,13,XGB,1.8646,10.7334,4,20,0.777,0.4468,,0,0
5,13,LogReg,-0.5986,4.8559,2,20,-0.551,0.5879,,0,0
5,13,SVM,0.5986,6.6491,3,20,0.403,0.6917,,0,0
5,13,FFN,-5.4103,21.5017,2,20,-1.125,0.2745,,0,0
5,14,RF,2.3958,15.6497,5,20,0.685,0.5018,,0,0
5,14,GBT,3.2286,9.2512,8,20,1.561,0.1351,,0,0
5,14,XGB,1.2914,7.1352,4,20,0.809,0.4283,,0,0
5,14,LogReg,-0.6457,5.0887,1,20,-0.567,0.577,,0,0
5,14,SVM,-1.2914,5.7754,1,20,-1.0,0.3299,,0,0
5,14,FFN,-0.6457,5.0887,1,20,-0.567,0.577,,0,0
10,01,RF,-0.0169,1.3374,9,20,-0.056,0.9556,0.9708,0,0
10,01,GBT,-0.2413,1.3257,8,20,-0.814,0.4257,0.7222,0,0
10,01,XGB,0.076,1.4305,9,20,0.238,0.8147,0.9649,0,0
10,01,LogReg,0.2673,0.9952,13,20,1.201,0.2445,0.6085,0,0
10,01,SVM,-0.2589,0.721,6,20,-1.606,0.1248,0.6085,0,0
10,01,FFN,0.1556,1.4003,9,20,0.497,0.6248,0.8331,0,0
10,03,RF,-1.998,17.8571,3,20,-0.5,0.6225,0.8331,0,0
10,03,GBT,2.4695,9.077,6,20,1.217,0.2386,0.6085,0,0
10,03,XGB,2.5663,7.6876,5,20,1.493,0.1519,0.6085,0,0
10,03,LogReg,-2.1124,7.8336,3,20,-1.206,0.2426,0.6085,0,0
10,03,SVM,-0.6989,2.9705,2,20,-1.052,0.3059,0.6638,0,0
10,03,FFN,-0.1634,3.7049,4,20,-0.197,0.8458,0.9649,0,0
10,07,RF,0.6868,3.6498,8,20,0.842,0.4105,0.7222,0,0
10,07,GBT,0.8316,3.1086,7,20,1.196,0.2463,0.6085,0,0
10,07,XGB,-0.0402,4.8421,8,20,-0.037,0.9708,0.9708,0,0
10,07,LogReg,-0.2847,2.5047,3,20,-0.508,0.617,0.8331,0,0
10,07,SVM,0.0135,1.4644,7,20,0.041,0.9675,0.9708,0,0
10,07,FFN,-0.7753,2.0916,4,20,-1.658,0.1138,0.6085,0,0
10,08,RF,-0.8161,2.6968,6,20,-1.353,0.1918,0.6085,0,0
10,08,GBT,0.0682,1.7612,9,20,0.173,0.8644,0.9649,0,0
10,08,XGB,0.8922,2.2475,11,20,1.775,0.0919,0.6085,0,0
10,08,LogReg,-0.3225,1.5359,5,20,-0.939,0.3596,0.6638,0,0
10,08,SVM,0.2436,1.1511,7,20,0.947,0.3558,0.6638,0,0
10,08,FFN,-0.6926,2.5163,5,20,-1.231,0.2334,0.6085,0,0
10,09,RF,-0.0488,1.7814,8,20,-0.122,0.9038,0.9708,0,0
10,09,GBT,-0.1691,1.049,8,20,-0.721,0.4798,0.7222,0,0
10,09,XGB,-0.2818,1.0493,8,20,-1.201,0.2445,0.6085,0,0
10,09,LogReg,0.2237,1.3931,8,20,0.718,0.4815,0.7222,0,0
10,09,SVM,-0.3194,1.1494,7,20,-1.243,0.2291,0.6085,0,0
10,09,FFN,-0.7336,1.0202,3,20,-3.216,0.0045,0.2182,0,0
10,12,RF,-2.5504,7.241,0,20,-1.575,0.1317,0.6085,0,0
10,12,GBT,-4.107,15.599,2,20,-1.177,0.2536,0.6085,0,0
10,12,XGB,-1.0889,13.385,4,20,-0.364,0.72,0.9095,0,0
10,12,LogReg,-3.6869,12.8156,2,20,-1.287,0.2137,0.6085,0,0
10,12,SVM,-3.897,9.5176,0,20,-1.831,0.0828,0.6085,0,0
10,12,FFN,1.5091,17.8914,7,20,0.377,0.7102,0.9095,0,0
10,13,RF,-0.2276,3.7371,6,20,-0.272,0.7882,0.9649,0,0
10,13,GBT,-0.4934,3.7306,4,20,-0.591,0.5612,0.8163,0,0
10,13,XGB,-1.2297,7.4181,5,20,-0.741,0.4676,0.7222,0,0
10,13,LogReg,-0.2162,5.1252,5,20,-0.189,0.8524,0.9649,0,0
10,13,SVM,-0.0888,3.7694,5,20,-0.105,0.9172,0.9708,0,0
10,13,FFN,-2.6267,9.4443,6,20,-1.244,0.2287,0.6085,0,0
10,14,RF,-10.3711,47.491,3,20,-0.977,0.341,0.6638,0,0
10,14,GBT,-14.3247,41.4264,1,20,-1.546,0.1385,0.6085,0,0
10,14,XGB,-10.9172,49.8286,3,20,-0.98,0.3395,0.6638,0,0
10,14,LogReg,-21.2476,85.513,1,20,-1.111,0.2803,0.6408,0,0
10,14,SVM,-11.9543,41.5593,0,20,-1.286,0.2138,0.6085,0,0
10,14,FFN,8.6267,49.6536,2,20,0.777,0.4467,0.7222,0,0
15,01,RF,0.664,0.9654,13,20,3.076,0.0062,0.0505,0,1
15,01,GBT,0.1384,1.5894,9,20,0.389,0.7013,0.9135,0,0
15,01,XGB,0.5826,0.7903,15,20,3.297,0.0038,0.0455,1,1
15,01,LogReg,0.0536,0.7518,10,20,0.319,0.7534,0.9479,0,0
15,01,SVM,-0.6722,0.9074,4,20,-3.313,0.0037,0.0455,1,1
15,01,FFN,-0.3371,0.8624,6,20,-1.748,0.0966,0.4051,0,0
15,03,RF,-2.6652,9.7466,6,20,-1.223,0.2363,0.597,0,0
15,03,GBT,1.9846,11.1014,4,20,0.799,0.4339,0.7256,0,0
15,03,XGB,-2.3481,9.1557,2,20,-1.147,0.2657,0.6172,0,0
15,03,LogReg,0.3583,2.3149,4,20,0.692,0.4972,0.7584,0,0
15,03,SVM,-0.4304,2.2087,3,20,-0.872,0.3944,0.7256,0,0
15,03,FFN,0.0065,2.2462,7,20,0.013,0.9899,0.9899,0,0
15,07,RF,-0.5779,3.4033,8,20,-0.759,0.4569,0.7311,0,0
15,07,GBT,0.6704,1.8715,11,20,1.602,0.1257,0.4327,0,0
15,07,XGB,-0.5357,4.0066,6,20,-0.598,0.557,0.7952,0,0
15,07,LogReg,-0.3296,1.5933,2,20,-0.925,0.3664,0.7198,0,0
15,07,SVM,0.3032,0.7874,6,20,1.722,0.1013,0.4051,0,0
15,07,FFN,0.4589,1.8329,8,20,1.12,0.2768,0.6172,0,0
15,08,RF,1.1179,1.6289,14,20,3.069,0.0063,0.0505,0,1
15,08,GBT,0.3658,1.5298,11,20,1.069,0.2983,0.6226,0,0
15,08,XGB,0.2828,1.5975,9,20,0.792,0.4384,0.7256,0,0
15,08,LogReg,-0.043,1.1914,7,20,-0.161,0.8734,0.9625,0,0
15,08,SVM,0.8962,0.6698,16,20,5.983,0.0,0.0004,1,1
15,08,FFN,0.0059,1.4394,9,20,0.018,0.9856,0.9899,0,0
15,09,RF,0.0824,0.9558,10,20,0.386,0.7041,0.9135,0,0
15,09,GBT,-0.0504,0.8956,8,20,-0.252,0.8039,0.9625,0,0
15,09,XGB,-0.0216,0.8523,9,20,-0.113,0.911,0.9717,0,0
15,09,LogReg,0.6022,0.7621,14,20,3.534,0.0022,0.0455,1,1
15,09,SVM,0.2753,0.6962,12,20,1.768,0.0931,0.4051,0,0
15,09,FFN,-0.1635,1.0779,8,20,-0.679,0.5056,0.7584,0,0
15,12,RF,0.2578,14.3397,3,20,0.08,0.9368,0.9775,0,0
15,12,GBT,-2.331,19.7437,3,20,-0.528,0.6036,0.8278,0,0
15,12,XGB,6.4881,20.0574,6,20,1.447,0.1643,0.4757,0,0
15,12,LogReg,-6.7459,16.1661,1,20,-1.866,0.0775,0.4051,0,0
15,12,SVM,-1.2998,7.1201,1,20,-0.816,0.4244,0.7256,0,0
15,12,FFN,3.1522,15.5141,6,20,0.909,0.3749,0.7198,0,0
15,13,RF,-0.8692,3.5172,3,20,-1.105,0.2829,0.6172,0,0
15,13,GBT,1.7242,3.7893,8,20,2.035,0.0561,0.3364,0,0
15,13,XGB,-0.2324,5.7671,4,20,-0.18,0.8589,0.9625,0,0
15,13,LogReg,1.5672,4.7035,10,20,1.49,0.1526,0.4757,0,0
15,13,SVM,1.2967,3.6257,11,20,1.599,0.1262,0.4327,0,0
15,13,FFN,-0.1827,5.4465,7,20,-0.15,0.8823,0.9625,0,0
15,14,RF,-0.419,6.3223,4,20,-0.296,0.7702,0.9479,0,0
15,14,GBT,-2.8319,6.1889,2,20,-2.046,0.0548,0.3364,0,0
15,14,XGB,1.1923,9.0638,7,20,0.588,0.5633,0.7952,0,0
15,14,LogReg,-1.3575,4.3033,0,20,-1.411,0.1745,0.4757,0,0
15,14,SVM,-8.5412,27.3331,0,20,-1.397,0.1784,0.4757,0,0
15,14,FFN,-0.4971,10.0177,8,20,-0.222,0.8267,0.9625,0,0
20,01,RF,0.4598,0.6613,14,20,3.11,0.0058,0.0346,1,1
20,01,GBT,0.1574,0.7689,10,20,0.915,0.3715,0.5882,0,0
20,01,XGB,0.4567,0.4876,14,20,4.188,0.0005,0.012,1,1
20,01,LogReg,0.0457,0.6422,9,20,0.319,0.7535,0.8038,0,0
20,01,SVM,-0.0078,0.454,10,20,-0.077,0.9397,0.9397,0,0
20,01,FFN,-0.2397,0.7009,7,20,-1.529,0.1427,0.3605,0,0
20,03,RF,-0.4562,3.3585,6,20,-0.608,0.5507,0.6778,0,0
20,03,GBT,-0.8765,2.4065,4,20,-1.629,0.1198,0.3195,0,0
20,03,XGB,3.4748,14.3867,7,20,1.08,0.2936,0.5637,0,0
20,03,LogReg,-0.2915,0.7934,3,20,-1.643,0.1168,0.3195,0,0
20,03,SVM,-0.2076,1.298,5,20,-0.715,0.4831,0.643,0,0
20,03,FFN,0.1737,0.9818,5,20,0.791,0.4386,0.6294,0,0
20,07,RF,0.3488,2.3635,6,20,0.66,0.5172,0.6534,0,0
20,07,GBT,-0.215,2.2196,9,20,-0.433,0.6697,0.7654,0,0
20,07,XGB,-0.8389,3.1699,5,20,-1.184,0.2512,0.523,0,0
20,07,LogReg,0.0736,0.6968,2,20,0.472,0.6422,0.7518,0,0
20,07,SVM,-0.8377,1.7942,2,20,-2.088,0.0505,0.1616,0,0
20,07,FFN,-0.0385,1.386,9,20,-0.124,0.9024,0.9397,0,0
20,08,RF,0.3108,1.5071,11,20,0.922,0.368,0.5882,0,0
20,08,GBT,0.7246,1.1455,13,20,2.829,0.0107,0.0468,1,1
20,08,XGB,0.9163,0.936,18,20,4.378,0.0003,0.012,1,1
20,08,LogReg,-0.5777,0.8758,4,20,-2.95,0.0082,0.0395,1,1
20,08,SVM,0.629,0.8949,14,20,3.143,0.0054,0.0346,1,1
20,08,FFN,0.1372,0.8002,8,20,0.767,0.4527,0.6294,0,0
20,09,RF,-0.7656,0.8697,3,20,-3.937,0.0009,0.0142,1,1
20,09,GBT,-0.528,0.6903,3,20,-3.42,0.0029,0.0275,1,1
20,09,XGB,-0.6026,0.8191,5,20,-3.29,0.0038,0.0308,1,1
20,09,LogReg,0.5293,0.7758,15,20,3.051,0.0066,0.035,1,1
20,09,SVM,-0.08,0.5152,7,20,-0.695,0.4957,0.643,0,0
20,09,FFN,-0.4254,0.5465,4,20,-3.482,0.0025,0.0275,1,1
20,12,RF,4.5381,22.5726,4,20,0.899,0.3799,0.5882,0,0
20,12,GBT,-2.8642,12.6801,3,20,-1.01,0.3251,0.578,0,0
20,12,XGB,5.2391,22.6211,8,20,1.036,0.3133,0.578,0,0
20,12,LogReg,-6.4822,24.4347,2,20,-1.186,0.2501,0.523,0,0
20,12,SVM,-3.1657,12.2333,0,20,-1.157,0.2615,0.523,0,0
20,12,FFN,-3.5333,20.9027,8,20,-0.756,0.459,0.6294,0,0
20,13,RF,1.2442,2.0941,11,20,2.657,0.0156,0.0574,0,1
20,13,GBT,-0.6613,2.2252,6,20,-1.329,0.1995,0.4561,0,0
20,13,XGB,1.0363,1.7248,10,20,2.687,0.0146,0.0574,0,1
20,13,LogReg,0.1707,2.3313,7,20,0.327,0.7469,0.8038,0,0
20,13,SVM,-0.4658,2.7458,4,20,-0.759,0.4574,0.6294,0,0
20,13,FFN,1.0689,2.2767,15,20,2.1,0.0493,0.1616,0,0
20,14,RF,1.5879,5.1746,8,20,1.372,0.1859,0.4463,0,0
20,14,GBT,-1.2393,6.1566,5,20,-0.9,0.3793,0.5882,0,0
20,14,XGB,-0.304,2.7758,5,20,-0.49,0.6298,0.7518,0,0
20,14,LogReg,-0.4855,6.6162,4,20,-0.328,0.7464,0.8038,0,0
20,14,SVM,-1.7515,4.4905,4,20,-1.744,0.0973,0.2918,0,0
20,14,FFN,-0.0909,4.6981,7,20,-0.087,0.932,0.9397,0,0
