dataset,field,feature_set,model,n_test_mean,n_pos_mean,auc_mean,auc_std,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v0_baseline,01,BIBLIO,FFN,563.2,88.85,0.7129324548837255,0.02382886268441228,0.3326209149444821,0.05137208641432211,0.21225325481529472,0.031045542523669353,3.2087950720847056,0.8111785068817203
v0_baseline,01,BIBLIO,GBT,563.2,88.85,0.7370082335570236,0.0253504943518742,0.3789195672401962,0.056232747461816654,0.24215053268193798,0.03576201879882078,4.136443658060967,1.2542466087031094
v0_baseline,01,BIBLIO,LogReg,563.2,88.85,0.7169428796333406,0.02160951529997011,0.3460789344794184,0.058346971933956784,0.22045692095844602,0.03248920784397952,3.458204775839852,0.9526436204058258
v0_baseline,01,BIBLIO,RF,563.2,88.85,0.7454933014745886,0.020664614472215483,0.3631317609264202,0.06107415457914671,0.23154541919848737,0.034938537632656086,3.8030759867314856,1.1160105840372143
v0_baseline,01,BIBLIO,SVM,563.2,88.85,0.6378652224382284,0.02886957452090649,0.3001721187982861,0.066164380574121,0.19121364275201969,0.03994962966276966,2.7452196366724606,1.0666038409986607
v0_baseline,01,BIBLIO,XGB,563.2,88.85,0.6928872085898578,0.02558911879920565,0.37504562596968094,0.07003619010180863,0.23960307745062265,0.04414162453784404,4.1079699667429885,1.3573235807938206
v0_baseline,01,BIBLIO+DEBATE25,FFN,563.2,88.85,0.6505175543401434,0.031730676302269833,0.2942995669892162,0.05535064834056949,0.1882434861530237,0.03677433817800519,2.637358100890789,0.8615373226113374
v0_baseline,01,BIBLIO+DEBATE25,GBT,563.2,88.85,0.7449812102013349,0.019461686699281645,0.3803315462922449,0.04985708418760309,0.24283678652144877,0.02942066267589037,4.118569634453831,1.018572172149524
v0_baseline,01,BIBLIO+DEBATE25,LogReg,563.2,88.85,0.721418176382798,0.01582881234492054,0.35641986720680563,0.04371515638683161,0.22754670022477255,0.025950704537124537,3.6132996377168247,0.7410697648552745
v0_baseline,01,BIBLIO+DEBATE25,RF,563.2,88.85,0.7513433750976999,0.01704715914735244,0.38344479030835366,0.05891509405429376,0.24446824867793274,0.03282260023794531,4.213365314079984,1.2190129604608775
v0_baseline,01,BIBLIO+DEBATE25,SVM,563.2,88.85,0.6496074336700788,0.025662661252065132,0.3138091171240245,0.05445086607505665,0.20082605949037718,0.03550433804313449,2.928534554396003,0.8452610668395164
v0_baseline,01,BIBLIO+DEBATE25,XGB,563.2,88.85,0.7054133622511448,0.02861847036963987,0.36101571811826194,0.06499496030154567,0.23090001121869505,0.04272732704369995,3.81947568125832,1.3206616027835052
v0_baseline,01,BIBLIO+DEBATE5,FFN,563.2,88.85,0.7001287214470759,0.023217398524703874,0.3383139052261468,0.06773468659097058,0.21464174602850128,0.03596660515493289,3.3252041959029484,0.9862154990589325
v0_baseline,01,BIBLIO+DEBATE5,GBT,563.2,88.85,0.74427650788842,0.020488508288976852,0.3901477223563289,0.05232571783897529,0.2496575656040966,0.036137480778719325,4.368564048208283,1.1794219367290564
v0_baseline,01,BIBLIO+DEBATE5,LogReg,563.2,88.85,0.7237889988280046,0.01704230449941271,0.36618770324301364,0.04874496113085901,0.23377426108508703,0.028647991038017233,3.823591786120872,0.9290610249199943
v0_baseline,01,BIBLIO+DEBATE5,RF,563.2,88.85,0.7507454939157747,0.01833162183803167,0.37725100354559393,0.06511419592085106,0.24055820329405336,0.037387877015252535,4.122434343340142,1.385727030168033
v0_baseline,01,BIBLIO+DEBATE5,SVM,563.2,88.85,0.660528654536991,0.02306113341046566,0.3097250750794637,0.04387531224809276,0.1978436840736514,0.026965764642636267,2.8222427559987953,0.6530227150492048
v0_baseline,01,BIBLIO+DEBATE5,XGB,563.2,88.85,0.7028582879387051,0.02915119590473564,0.3553183688547086,0.07036133923505311,0.22715332218470916,0.04574553485352107,3.74428183384671,1.5026437166344264
v0_baseline,03,BIBLIO,FFN,26.55,6.3,0.7525837991159949,0.1169312832346112,0.5458333333333333,0.2410306209466302,0.2950396825396825,0.17475346213038093,17.043822922175863,40.20790542713071
v0_baseline,03,BIBLIO,GBT,26.55,6.3,0.7720438236579978,0.10792764207671701,0.5125,0.26802695814488076,0.26043650793650797,0.14096591710049547,7.738374319637478,12.69877461547219
v0_baseline,03,BIBLIO,LogReg,26.55,6.3,0.7773862724308527,0.09897818852573229,0.5333333333333333,0.22196622681830047,0.2825992063492063,0.1453840082083601,6.573581181345887,5.668822054616839
v0_baseline,03,BIBLIO,RF,26.55,6.3,0.7723326522466407,0.10084063537205509,0.4541666666666666,0.244044562606938,0.2390079365079365,0.16761184729066736,6.829087754350913,12.830593348421047
v0_baseline,03,BIBLIO,SVM,26.55,6.3,0.7087854853996057,0.13134545730852823,0.4458333333333333,0.2977437082281902,0.23992063492063492,0.17646179821065708,8.625725899372958,15.714918145452874
v0_baseline,03,BIBLIO,XGB,26.55,6.3,0.7185978080315216,0.14118961744094663,0.6208333333333333,0.30285556165946526,0.31819444444444445,0.15825106661316762,15.288822976587682,19.484300394070587
v0_baseline,03,BIBLIO+DEBATE25,FFN,26.55,6.3,0.6487255980246114,0.11862333797028886,0.275,0.2389364837668241,0.15259920634920635,0.16496171518334266,3.402408088545196,6.001397390171464
v0_baseline,03,BIBLIO+DEBATE25,GBT,26.55,6.3,0.7534816164130114,0.12101771737748769,0.5,0.30588764516074907,0.26162698412698415,0.18192939916785567,9.103942085205244,13.702515710716527
v0_baseline,03,BIBLIO+DEBATE25,LogReg,26.55,6.3,0.731117157651825,0.125077666738041,0.4333333333333333,0.3042102227886545,0.22019841269841267,0.17282175367081912,7.3320684357659145,13.321871009285118
v0_baseline,03,BIBLIO+DEBATE25,RF,26.55,6.3,0.7421868495046723,0.1109528866861488,0.3625,0.30018878075898714,0.18442460317460316,0.15884451159699936,5.869526839173898,12.653567618311218
v0_baseline,03,BIBLIO+DEBATE25,SVM,26.55,6.3,0.6503128890219412,0.10232204032796681,0.2333333333333333,0.2173067468400883,0.1266468253968254,0.139193559793397,2.211822377959485,2.773585279279248
v0_baseline,03,BIBLIO+DEBATE25,XGB,26.55,6.3,0.7033265966757474,0.12345677922592449,0.4125,0.28673780227145146,0.21847222222222223,0.15849102051857938,5.731040685950903,7.666483207059095
v0_baseline,03,BIBLIO+DEBATE5,FFN,26.55,6.3,0.72033261654205,0.08960948449883943,0.5333333333333333,0.3146054802242556,0.252718253968254,0.14281985003582154,7.724064523613396,8.43675402863191
v0_baseline,03,BIBLIO+DEBATE5,GBT,26.55,6.3,0.7530782953445776,0.08779055249463553,0.4291666666666666,0.3074073340144115,0.22529761904761902,0.18336939917107142,9.583772593419651,19.12181573232421
v0_baseline,03,BIBLIO+DEBATE5,LogReg,26.55,6.3,0.7508136096955722,0.1142469607892069,0.3958333333333333,0.30091842845660904,0.20061507936507933,0.17352234751979395,6.850024263220194,13.454927280267226
v0_baseline,03,BIBLIO+DEBATE5,RF,26.55,6.3,0.7613829483076361,0.11086657973106173,0.4208333333333333,0.2942864797501623,0.21900793650793648,0.175722936872294,7.07382054982055,13.292003899259358
v0_baseline,03,BIBLIO+DEBATE5,SVM,26.55,6.3,0.6495145689363511,0.10764991716640841,0.2625,0.22503248628373845,0.13601190476190478,0.13039162964797973,2.2626007705335436,2.5294541111195756
v0_baseline,03,BIBLIO+DEBATE5,XGB,26.55,6.3,0.6834972776725257,0.10373775546958687,0.45,0.19002923751652298,0.23734126984126985,0.12370812713825273,4.553422974686133,5.486414979824245
v0_baseline,07,BIBLIO,FFN,60.55,7.95,0.7154083470683379,0.0966348156261811,0.35285714285714287,0.16746247528968033,0.2993961593961594,0.12787082503984937,6.247999603911329,4.41758020873239
v0_baseline,07,BIBLIO,GBT,60.55,7.95,0.7261452116370968,0.0847681505419967,0.30476190476190473,0.1670421834776647,0.2498074148074148,0.14271622850368137,4.912692149519533,3.888072668729373
v0_baseline,07,BIBLIO,LogReg,60.55,7.95,0.7533263763647514,0.07215454728211777,0.29928571428571427,0.11657353963066283,0.25751068376068376,0.10281104513053663,4.4018002654553925,2.843129779632485
v0_baseline,07,BIBLIO,RF,60.55,7.95,0.7320492029017399,0.07010238845064033,0.2861904761904762,0.13611403992747306,0.24904983904983907,0.12021039155551683,4.277647019523657,2.698472337244798
v0_baseline,07,BIBLIO,SVM,60.55,7.95,0.5983145065229338,0.1187191183923691,0.2583333333333333,0.17449824066376365,0.2070555833055833,0.14494977215556476,3.904226594119398,3.290894447212966
v0_baseline,07,BIBLIO,XGB,60.55,7.95,0.676428224679494,0.0777905395664123,0.2583333333333333,0.16823022404613058,0.21077422577422578,0.13564510595618573,3.836853082803273,3.2054623729385368
v0_baseline,07,BIBLIO+DEBATE25,FFN,60.55,7.95,0.6346021714899492,0.09378257873784299,0.17785714285714285,0.11785644667017993,0.1618151293151293,0.11328410648832848,2.489309532226564,2.0893941928177164
v0_baseline,07,BIBLIO+DEBATE25,GBT,60.55,7.95,0.7080008027650199,0.0789347777103103,0.3142857142857143,0.15595740296874866,0.27032509157509155,0.12253540143856576,4.917692377216073,2.7615827573051748
v0_baseline,07,BIBLIO+DEBATE25,LogReg,60.55,7.95,0.7393575812950663,0.06608480070483073,0.2938095238095238,0.15838048367994526,0.24261169386169387,0.1235129713240643,4.260264659568823,2.584213886812319
v0_baseline,07,BIBLIO+DEBATE25,RF,60.55,7.95,0.7173420042313668,0.05664549792195569,0.29166666666666663,0.19310142640173952,0.2538532301032301,0.15517041296410047,4.933997993194916,3.4217992358503744
v0_baseline,07,BIBLIO+DEBATE25,SVM,60.55,7.95,0.636739351387027,0.10217764726390623,0.19523809523809524,0.13809955917533037,0.17669788544788545,0.13798926157280406,2.9259196664372498,2.63950788771437
v0_baseline,07,BIBLIO+DEBATE25,XGB,60.55,7.95,0.6633035803183047,0.08883782437006024,0.24047619047619045,0.16493913136227287,0.21593240093240093,0.15736937444190635,4.127343522844121,4.8326728275226785
v0_baseline,07,BIBLIO+DEBATE5,FFN,60.55,7.95,0.6985970463666439,0.12856325097701962,0.275,0.150480592239163,0.23675185925185924,0.12906009863256462,4.084417849827075,2.6862569175493376
v0_baseline,07,BIBLIO+DEBATE5,GBT,60.55,7.95,0.7119121711682559,0.07215812312426141,0.29761904761904756,0.15536320434885734,0.2578214840714841,0.1259814180155873,4.7215867055686065,3.1737097840059407
v0_baseline,07,BIBLIO+DEBATE5,LogReg,60.55,7.95,0.7503594698594758,0.07434441483178802,0.28904761904761905,0.17772548162666355,0.23740967365967366,0.1304713375633954,4.437172911970086,3.4435060980438763
v0_baseline,07,BIBLIO+DEBATE5,RF,60.55,7.95,0.7258709252083373,0.062082849299228804,0.275,0.1617563450652696,0.2407165057165057,0.13508843011842575,4.310947640853174,3.035493736879054
v0_baseline,07,BIBLIO+DEBATE5,SVM,60.55,7.95,0.6100502390474947,0.10657206858306566,0.30357142857142855,0.2047990582368101,0.23535159285159285,0.15012108950977301,5.127636242234523,4.7100215800972
v0_baseline,07,BIBLIO+DEBATE5,XGB,60.55,7.95,0.6725271911738582,0.07428292458745214,0.2452380952380952,0.15528636794240275,0.2132327394827395,0.12582115577092826,3.584013072273129,2.6487550444614767
v0_baseline,08,BIBLIO,FFN,251.3,19.45,0.6578594480166683,0.061113469098109906,0.19377136752136753,0.07320474266698443,0.2638573627300744,0.0972985200619209,4.238744338638912,2.4357716295635927
v0_baseline,08,BIBLIO,GBT,251.3,19.45,0.6896075460739554,0.06343134654383228,0.2251331908831909,0.08015783671298721,0.3003490947140833,0.09421124944441978,5.172178244679519,2.7730908289231238
v0_baseline,08,BIBLIO,LogReg,251.3,19.45,0.6531390168674633,0.06746778876337214,0.16058190883190884,0.062362596299361556,0.216906132927586,0.08109022776712073,3.1255994806788157,1.7789672065519022
v0_baseline,08,BIBLIO,RF,251.3,19.45,0.6827066205241739,0.05980344212440712,0.21348789173789173,0.08950077616340422,0.2787766620298085,0.08540568189452444,4.605604244617749,2.3194352589894702
v0_baseline,08,BIBLIO,SVM,251.3,19.45,0.6554830518426173,0.05023942824564394,0.176511396011396,0.07205497682289458,0.24076366844444647,0.09983788463704692,3.6962564927897907,2.118593216549093
v0_baseline,08,BIBLIO,XGB,251.3,19.45,0.6727616417977276,0.07903727675224508,0.23658760683760685,0.09189566087782311,0.3144025369176971,0.10635891699296285,5.747123034423425,3.3843207046713055
v0_baseline,08,BIBLIO+DEBATE25,FFN,251.3,19.45,0.6264921396805543,0.08807128921740982,0.15408831908831908,0.07947043828730878,0.19814236513550015,0.08738685717679925,2.835895674808087,1.5015304234684514
v0_baseline,08,BIBLIO+DEBATE25,GBT,251.3,19.45,0.6922358810065294,0.0616520490922736,0.20019943019943018,0.08073321378108862,0.2723908731428754,0.1141405317576821,4.60713390323434,3.182281967506829
v0_baseline,08,BIBLIO+DEBATE25,LogReg,251.3,19.45,0.6564657799095871,0.0687547105554383,0.14894871794871795,0.04717238464687321,0.1991597345573318,0.053564836184437394,2.6637072349099613,0.9373852950715683
v0_baseline,08,BIBLIO+DEBATE25,RF,251.3,19.45,0.6780457894224006,0.05754408433409643,0.20124928774928774,0.07394098163914951,0.2669054821037086,0.08194520390878128,4.211392317946013,2.024606613248626
v0_baseline,08,BIBLIO+DEBATE25,SVM,251.3,19.45,0.6428420472138464,0.07565505639761087,0.1646068376068376,0.05620361021683043,0.22350698386281911,0.07491373618390676,3.2132764259361593,1.6447114013666033
v0_baseline,08,BIBLIO+DEBATE25,XGB,251.3,19.45,0.6856355673092026,0.07368224806352436,0.2068582621082621,0.07411246877926497,0.27949428724085473,0.10973151756822626,4.645673283882539,2.5741505675415532
v0_baseline,08,BIBLIO+DEBATE5,FFN,251.3,19.45,0.6522907036546296,0.050463236350799176,0.1854437321937322,0.08238023375553741,0.24224480944303597,0.07767196809267554,3.657161481713807,1.573082792084526
v0_baseline,08,BIBLIO+DEBATE5,GBT,251.3,19.45,0.6914273902911693,0.060493576567005804,0.21381410256410258,0.07755928459312773,0.28514809900879695,0.09096348127523063,4.703757640946885,2.2529598774951456
v0_baseline,08,BIBLIO+DEBATE5,LogReg,251.3,19.45,0.662530840080553,0.0696960996103142,0.14918589743589744,0.0584501749734183,0.20287965578154363,0.0785745705998746,2.849245079252141,1.6741111757060239
v0_baseline,08,BIBLIO+DEBATE5,RF,251.3,19.45,0.6805170907636658,0.057799884791927235,0.21348789173789173,0.08366518163526757,0.2811941648168765,0.08482587328201549,4.623552272131668,2.238969259548091
v0_baseline,08,BIBLIO+DEBATE5,SVM,251.3,19.45,0.6430020354847532,0.03970765187111917,0.15894301994301993,0.05866756856580356,0.22014305755266853,0.09651473689197262,3.2299181846726635,1.9841676163639996
v0_baseline,08,BIBLIO+DEBATE5,XGB,251.3,19.45,0.689362669681045,0.07056272534237645,0.2145868945868946,0.07703526595570659,0.2856321763032289,0.08769976230373397,4.724040388204943,2.232906283013526
v0_baseline,09,BIBLIO,FFN,427.7,40.7,0.6332027184351908,0.04439652812760642,0.1758229661531839,0.03367139764146268,0.18694744235146088,0.03301954214809563,2.396608619357771,0.6129030351697752
v0_baseline,09,BIBLIO,GBT,427.7,40.7,0.7029594074498993,0.03325194003346573,0.246844110044189,0.046468417419964304,0.2630006028629409,0.048823745547832816,4.07058597495481,1.1499461183877575
v0_baseline,09,BIBLIO,LogReg,427.7,40.7,0.6778643750781173,0.04381910717518788,0.19449103665822945,0.04108115057687631,0.20674925690714768,0.040275777245450464,2.7843455021707655,0.7659131268249922
v0_baseline,09,BIBLIO,RF,427.7,40.7,0.6928392398892074,0.0380439512137261,0.24094252408421685,0.047050340938470235,0.2552608452005683,0.04168199621297121,3.8631397442390094,0.9938388288288954
v0_baseline,09,BIBLIO,SVM,427.7,40.7,0.5963374829374695,0.04389732183811731,0.17379237017390856,0.03381905822370846,0.1859282888399686,0.04047955216494059,2.390542679486722,0.7498942126667476
v0_baseline,09,BIBLIO,XGB,427.7,40.7,0.6749093879958904,0.03627522606891995,0.24604188198789792,0.06047957011791365,0.26158390468468945,0.06075767590118607,4.117182968365222,1.5049702115890906
v0_baseline,09,BIBLIO+DEBATE25,FFN,427.7,40.7,0.6015277551558851,0.049967227671703765,0.1364039075058459,0.04888555148440369,0.14439660979236754,0.04782582669534931,1.7458178515371174,0.7289920474332304
v0_baseline,09,BIBLIO+DEBATE25,GBT,427.7,40.7,0.6912048884519184,0.035224253459849544,0.2316668217353191,0.04383714155580727,0.24589325847027502,0.04012283434590866,3.630517938189974,0.9524787330018022
v0_baseline,09,BIBLIO+DEBATE25,LogReg,427.7,40.7,0.6837458546428784,0.04164461449154228,0.20235511917119356,0.05105050758642466,0.21632517717620092,0.05541178833579586,3.0335779309990505,1.1568197424255047
v0_baseline,09,BIBLIO+DEBATE25,RF,427.7,40.7,0.6868737033548291,0.03561334614523442,0.22454676048506966,0.04485542182438423,0.23827452380773892,0.043051642622165785,3.465847874471158,1.0197404777738632
v0_baseline,09,BIBLIO+DEBATE25,SVM,427.7,40.7,0.6008893463566547,0.04501240311510094,0.15887245846215242,0.05017775106519205,0.16863775227201755,0.04875694717383507,2.1337311964065835,0.8560151848744991
v0_baseline,09,BIBLIO+DEBATE25,XGB,427.7,40.7,0.6547571467834234,0.032421599564245084,0.19357037725400694,0.04964651337732631,0.20598616994001367,0.05080865204617595,2.8091883293002273,1.014458846209413
v0_baseline,09,BIBLIO+DEBATE5,FFN,427.7,40.7,0.636810637303207,0.04313964097736367,0.18974983129277934,0.04539798578242371,0.2047912915499642,0.0594731175610413,2.8060509563725122,1.2182406591131811
v0_baseline,09,BIBLIO+DEBATE5,GBT,427.7,40.7,0.6932301116732182,0.03464039267139293,0.23516250821116538,0.044715450852781,0.2495557725214693,0.040557336351121756,3.7131573461063723,0.8949203464089236
v0_baseline,09,BIBLIO+DEBATE5,LogReg,427.7,40.7,0.6846907575566684,0.043126231713187295,0.20709674490347257,0.03729204669115135,0.22057625386157137,0.037139784606351804,3.04822033594833,0.7226318960787332
v0_baseline,09,BIBLIO+DEBATE5,RF,427.7,40.7,0.6894920695649658,0.038188839005009155,0.23774569039927002,0.04274938275382822,0.2527140892535788,0.04222816878782095,3.801772191192981,1.1149787625986418
v0_baseline,09,BIBLIO+DEBATE5,SVM,427.7,40.7,0.587056638439896,0.035698032265019046,0.16672087530462582,0.03744918794979505,0.17741131196746976,0.03810200331605033,2.2419579722181027,0.6677323253502242
v0_baseline,09,BIBLIO+DEBATE5,XGB,427.7,40.7,0.654709634764989,0.040665002355818186,0.2139980752804127,0.04675275072068752,0.2279139503699573,0.04754316276211174,3.2435120732495037,0.9811687355451201
v0_baseline,12,BIBLIO,FFN,26.3,7.35,0.8273136302953489,0.08356896679351963,0.8041666666666666,0.22503248628373848,0.338015873015873,0.11543377282359459,15.809134569134567,14.559964170512156
v0_baseline,12,BIBLIO,GBT,26.3,7.35,0.871226449925316,0.05353358898450764,0.85,0.19421456754222646,0.37890873015873017,0.16091810126626432,23.392974432974434,21.003559670570606
v0_baseline,12,BIBLIO,LogReg,26.3,7.35,0.858895781172383,0.07198698276948688,0.6083333333333333,0.21814609622508863,0.256984126984127,0.10353812637381823,8.386437249025485,14.240139781532905
v0_baseline,12,BIBLIO,RF,26.3,7.35,0.8855615501797525,0.059094867762912846,0.875,0.17832062587943967,0.3809920634920635,0.13250609257249074,21.78966958966959,15.726816456574872
v0_baseline,12,BIBLIO,SVM,26.3,7.35,0.7915527388088298,0.11038271108624804,0.8166666666666667,0.22229530961845007,0.3593253968253968,0.14751118376687145,20.178992684875038,16.550669336516744
v0_baseline,12,BIBLIO,XGB,26.3,7.35,0.8341132406250441,0.06297444360021606,0.925,0.190988502761644,0.4041071428571429,0.1524722055047603,28.53722721722722,19.065733716382514
v0_baseline,12,BIBLIO+DEBATE25,FFN,26.3,7.35,0.7550356225989976,0.09006595648442339,0.575,0.25635205142343964,0.2458333333333333,0.10545677408786228,6.4664122979417105,6.8828385483621455
v0_baseline,12,BIBLIO+DEBATE25,GBT,26.3,7.35,0.8820903504122646,0.058024511195898805,0.9,0.18257418583505536,0.39369047619047615,0.13216295089837352,24.873057313057313,14.930016043461395
v0_baseline,12,BIBLIO+DEBATE25,LogReg,26.3,7.35,0.8268761746689967,0.08459584604066842,0.6416666666666666,0.2622719003393279,0.2649206349206349,0.09323262700397371,7.7554297398507925,6.5864427898679105
v0_baseline,12,BIBLIO+DEBATE25,RF,26.3,7.35,0.8758088594511733,0.050688180787976024,0.8416666666666666,0.2386303510546059,0.365515873015873,0.1486967213786085,21.274725274725277,16.298476824948057
v0_baseline,12,BIBLIO+DEBATE25,SVM,26.3,7.35,0.7771616904097807,0.06991439041221745,0.6458333333333333,0.29847933308807456,0.2728968253968254,0.14475544773189697,9.336970759088405,8.712881574406488
v0_baseline,12,BIBLIO+DEBATE25,XGB,26.3,7.35,0.8268533929909871,0.07739420212348384,0.8375,0.19955176379262737,0.36365079365079367,0.14468370711461515,19.14915898915899,18.014195135085654
v0_baseline,12,BIBLIO+DEBATE5,FFN,26.3,7.35,0.8075207185953669,0.08505245946839728,0.7083333333333333,0.22213082915965962,0.3148214285714286,0.14770959546993598,13.383297399767988,15.512164675214832
v0_baseline,12,BIBLIO+DEBATE5,GBT,26.3,7.35,0.880375500915269,0.05522815384219289,0.85,0.19421456754222644,0.37890873015873017,0.16091810126626432,23.307504347504345,20.989247869303647
v0_baseline,12,BIBLIO+DEBATE5,LogReg,26.3,7.35,0.8297893449062517,0.0737238247700242,0.65,0.24720661623652213,0.26942460317460315,0.100444031732906,9.505071677777561,14.21101273977841
v0_baseline,12,BIBLIO+DEBATE5,RF,26.3,7.35,0.8847022088846528,0.060691343059073394,0.8583333333333334,0.2113379821282925,0.3738492063492064,0.14146031694474068,21.547991267991268,16.003698452589724
v0_baseline,12,BIBLIO+DEBATE5,SVM,26.3,7.35,0.7990719383606801,0.08032228517514046,0.7666666666666666,0.2615741818902985,0.32432539682539685,0.1203766733563879,17.186188452070805,16.08771988559193
v0_baseline,12,BIBLIO+DEBATE5,XGB,26.3,7.35,0.8501898035847507,0.0509379881083908,0.9041666666666666,0.15120132970732486,0.39190476190476187,0.13391421532636374,22.634498834498835,17.28379982859917
v0_baseline,13,BIBLIO,FFN,71.45,6.55,0.7748003222489077,0.09616304582577041,0.30186507936507934,0.2145327214327191,0.3459920634920635,0.18896372417999507,10.419846509546803,13.353346417471453
